fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CMLw1gys2bz,52399,160923.0,162
03/11/21,CMCwFoZrjvO,34952,126062.0,346
03/11/21,CMDM-6IBR2P,143052,,759
03/11/21,CMNKHaXr_zp,33637,369902.0,352
03/11/21,CMN3h5qhF2a,154537,,773
03/11/21,CMKsHQhM1Nb,34019,92268.0,264
03/11/21,CMGWHcBhY0j,131433,,694
03/11/21,CMIR-3sn5ji,90642,314269.0,559
03/11/21,CMFdYaZhg7Z,165248,,2142
03/11/21,CMCiTvEj8qX,117735,367822.0,1259
03/11/21,CMLjIeQsxRv,160914,,469
03/11/21,CMKSlQaM44f,95576,,1047
03/11/21,CL4cjLXhc7j,30916,143028.0,176
03/11/21,CL2pX0VhCOX,58744,,410
03/11/21,CMAmqbQBtRe,32981,143716.0,181
03/11/21,CL-uraos01Z,39885,,108
03/11/21,CL7eIsaBkfL,86791,,384
03/11/21,CMABEtkMlRm,120583,,386
03/11/21,CMBTTMKsfry,220098,,864
03/11/21,CL24_zIMAjV,98216,,434
03/11/21,CLzaq6zsHMZ,126204,,448
03/11/21,CL0OyrJHoAx,36804,157752.0,268
03/11/21,CL2-UMrsHbz,70419,,224
03/11/21,CL-CusMBQtp,99679,,1248
03/11/21,CLr2CjVDYie,113523,,956
03/11/21,CLr88dZhWAd,77490,,720
03/11/21,CLodvQWgm-H,29034,166283.0,665
03/11/21,CLsAXI_BPNW,111011,,450
03/11/21,CLwgypPsxjX,135736,477126.0,1089
03/11/21,CLrvOqkr7iQ,349893,,2321
03/11/21,CLsg6P8hJcj,106197,,1078
03/11/21,CLxjDq6IY7L,32000,172339.0,248
03/11/21,CLvJgh-HCdG,23120,113996.0,405
03/11/21,CLr9ctZDOKr,51577,305844.0,510
03/11/21,CLuXdTyM68l,82308,256056.0,356
03/11/21,CLryrSEDV6K,86878,,458
03/11/21,CLmiKbZhU4A,93559,,448
03/11/21,CLhZy_khQ4G,141844,,527
03/11/21,CLhs7M8B7Ag,68144,,177
03/11/21,CLfTMyThTwd,195676,,835
03/11/21,CLiYWBiBMbT,21490,74755.0,218
03/11/21,CLnuxpSDGhB,91218,445102.0,1049
03/11/21,CLfBev5sugX,67027,243984.0,308
03/11/21,CLfxiWyMEFU,38483,159887.0,208
03/11/21,CLlGVYshomw,47912,,324
03/11/21,CLezdVJB0oU,21159,97472.0,104
03/11/21,CLmpB91Br9-,224248,909907.0,2622
03/11/21,CLkAS3rjPIh,31961,150883.0,306
03/11/21,CLS324yBzgK,66901,,712
03/11/21,CLPSis4B2vQ,88885,,673
03/11/21,CLXZ-c9hIAN,69163,204245.0,380
03/11/21,CLefOmSIzzg,109035,408771.0,752
03/11/21,CLWwwTxhE1J,96375,,367
03/11/21,CLR46WwhDo1,95767,,414
03/11/21,CLQPK78BxV8,150687,,590
03/11/21,CLcoHJ9Bhl7,31606,134956.0,226
03/11/21,CLPvkSMBHAN,56256,,345
03/11/21,CLayEwzBuBw,108615,,1159
03/11/21,CLb6VvmsxxX,89287,428873.0,581
03/11/21,CLUsKZgBp0g,81857,,594
03/11/21,CLDHmvXsQEi,53581,,263
03/11/21,CLHois0A6yo,36822,129943.0,556
03/11/21,CLNq8lXBIY9,96989,,1141
03/11/21,CLMkimWrMiW,83698,298610.0,862
03/11/21,CLKrBjZB-XQ,106795,,3097
03/11/21,CLAqXDvBaF6,298525,,1438
03/11/21,CLMyKydIj_Z,29763,136576.0,940
03/11/21,CLCm-X0ssH4,20512,,71
03/11/21,CLA9w-Anmxd,27943,122867.0,252
03/11/21,CLCnB3DH5F7,17488,78114.0,87
03/11/21,CLH2UVpD5xw,38632,228815.0,1546
03/11/21,CLFgozIBRBa,33382,123143.0,269
03/11/21,CKytmquna7b,22832,76745.0,86
03/11/21,CLAqHr2riW2,133342,516868.0,903
03/11/21,CKxZBLksqtr,30826,182418.0,259
03/11/21,CK0At6HBITv,86771,,218
03/11/21,CK1WVd5haXy,83660,,461
03/11/21,CLAnYEkF4nX,34738,142086.0,156
03/11/21,CK9qCccM_7r,57763,,487
03/11/21,CK_5-NLnpR-,21259,98298.0,85
03/11/21,CK9Vd-VsV8b,116690,,426
03/11/21,CK6p1PyALtT,66737,274452.0,564
03/11/21,CK6VI9Uhnq_,106413,,507
03/11/21,CK4Mu8Ph5xw,223215,,5131
03/11/21,CKu9KkzBYXJ,90476,,1122
03/11/21,CKmKUp6huIr,35252,236017.0,605
03/11/21,CKwImRHB2Mk,30703,121870.0,138
03/11/21,CKrUBACMkio,91489,,581
03/11/21,CKo5qKQlTxl,30627,147940.0,618
03/11/21,CKt82GShPEV,126198,,404
03/11/21,CKrsngMhQ5C,110808,,671
03/11/21,CKl1uz_H6NC,116865,421657.0,1422
03/11/21,CKwvcTOBEkd,47517,,674
03/11/21,CKoab8PsBk4,73967,304992.0,689
03/11/21,CKshHsSBTLb,104079,,203
03/11/21,CKwJSR_Bt1S,137166,,468
03/11/21,CKecHKAMCL7,61107,,268
03/11/21,CKfMZutsXBb,232061,,1047
03/11/21,CKPZXqopfsA,31150,104823.0,163
03/11/21,CKgy9_3gdt4,123249,,881
03/11/21,CKgtG71LkO1,60252,226070.0,603
03/11/21,CKZsGRZMSew,117641,,494
03/11/21,CKUAr1wDXHI,31927,116561.0,137
03/11/21,CKcSnvQMIvS,76841,,447
03/11/21,CKhOfZihsmO,31898,131980.0,155
03/11/21,CKbrPMAMNUl,83716,,170
03/11/21,CKWfvFjsXqg,55700,209932.0,456
03/11/21,CKaJ23IMznp,80498,,188
03/11/21,CKOqjUNjzp1,32153,122919.0,482
03/11/21,CKCcawMsxl1,112156,,359
03/11/21,CKCOOaos-g4,130331,,664
03/11/21,CKHf83iMLUT,134846,,707
03/11/21,CKPG8MIMljT,46717,,239
03/11/21,CKEhIURHYt5,62580,221370.0,637
03/11/21,CKFUWVDMrSp,89504,,211
