fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CMK2rTdhOGy,4478,,64
03/11/21,CMNzPy6rbxO,6036,,92
03/11/21,CMNTcGaMM30,22142,,255
03/11/21,CMLAuDlB6Ci,2743,21937.0,221
03/11/21,CMPxDSdAWZy,31804,128733.0,808
03/11/21,CMIOLLzAMzK,1579,,25
03/11/21,CMQDb8SnLEZ,5234,,47
03/11/21,CMKvm2vsNXm,2387,12860.0,43
03/11/21,CMPn_DRASba,43879,,600
03/11/21,CMQyrw0lTxI,1565,10904.0,25
03/11/21,CMP1s2vMH8S,5056,43474.0,174
03/11/21,CMNep43A6OV,2896,,26
03/11/21,CL9tTfVp8Ly,6926,34138.0,129
03/11/21,CL-Pmz6hmO4,22830,,224
03/11/21,CMA7VY8hVnb,3345,,51
03/11/21,CMF-CvVAnxL,6961,,93
03/11/21,CMDZNYkjBVV,1599,12788.0,43
03/11/21,CMAtmHWg07c,3118,,61
03/11/21,CMBMavVMFT9,1752,15072.0,51
03/11/21,CL-KVIVAOEl,3257,,50
03/11/21,CL-We-Dn4Xp,7142,72965.0,173
03/11/21,CMDSYLIMbb5,1863,,17
03/11/21,CL-B6sUBi_s,2812,,36
03/11/21,CMAY_XwM18O,5343,59154.0,128
03/11/21,CL0REbAgUDt,4671,,133
03/11/21,CLxei8bLqUn,2379,20221.0,71
03/11/21,CL7WNmtAe_j,3897,,71
03/11/21,CL5M7bPAuM4,3211,19464.0,94
03/11/21,CL21PO2glwN,10854,,142
03/11/21,CLzaLl0ru07,8381,,91
03/11/21,CL7q6BzBS6C,10326,,133
03/11/21,CL7KGlcHtt_,45284,,987
03/11/21,CLz1oa5B1tn,5440,,88
03/11/21,CLxQxltAhsO,8561,,52
03/11/21,CL2hkEJliga,12113,,192
03/11/21,CL5CmH8he6L,5904,,39
03/11/21,CLu04pbh8nH,2361,15252.0,59
03/11/21,CLrrzA1sg4s,4160,,30
03/11/21,CLp3FRXjXmz,3986,,97
03/11/21,CLr9BtHhuhh,3576,20257.0,55
03/11/21,CLw8MHWMi67,4870,32879.0,137
03/11/21,CLw1UMhMTkN,3048,,26
03/11/21,CLxDCigH1Lb,5548,,103
03/11/21,CLulwTXhauh,2295,16634.0,41
03/11/21,CLxM7JGhI2_,3651,,41
03/11/21,CLsHRYxg0Cc,6106,,113
03/11/21,CLu2v2_jduT,4967,28509.0,74
03/11/21,CLuQhAfMIXe,18945,,248
03/11/21,CLppPxWg7mN,2311,,929
03/11/21,CLhYiG2Dvpj,4131,,69
03/11/21,CLpiz5Tsrpy,3805,20772.0,100
03/11/21,CLfIYhtF9OV,6223,,108
03/11/21,CLmiHA9H8LW,21247,,590
03/11/21,CLewZ4VskSd,2361,16937.0,36
03/11/21,CLcqciwh3cP,4616,44901.0,232
03/11/21,CLmv2HSF8sZ,2802,25579.0,80
03/11/21,CLcIjFrgduH,26510,114872.0,595
03/11/21,CLkYzqwLWTx,4671,41306.0,101
03/11/21,CLpIlqqsNHG,2572,21671.0,89
03/11/21,CLiPqiNjPvO,13493,,129
03/11/21,CLU1PuELlRY,11149,,222
03/11/21,CLZjYBTDOnk,3332,26717.0,75
03/11/21,CLaaOckgX4B,2928,,68
03/11/21,CLZ-zAkA1Wt,4536,,108
03/11/21,CLZ0GzxMdu_,6735,34053.0,544
03/11/21,CLXhWNhg1_n,14036,,165
03/11/21,CLXunGXBRYs,5341,,89
03/11/21,CLSQKs3gBel,3178,35120.0,124
03/11/21,CLSCprNgvP8,7694,,80
03/11/21,CLaMebwlJVi,4727,,135
03/11/21,CLXTFflBLA8,2429,16749.0,51
03/11/21,CLUnbK_l573,9191,,213
03/11/21,CLPkst-AfpA,9956,,161
03/11/21,CLPW9u4g5N3,7720,,136
03/11/21,CLNiSuEBEyW,3802,27855.0,141
03/11/21,CLKo3mpj6GU,2511,35484.0,89
03/11/21,CLQUy_NFaEb,7460,,95
03/11/21,CLR7zQCMZSd,3895,,44
03/11/21,CLK2lIGsHbY,2715,,41
03/11/21,CLLEUT3DljP,3022,22489.0,96
03/11/21,CLMsjKEgLAB,4712,47456.0,166
03/11/21,CLRxNebA6-F,116904,2109135.0,4020
03/11/21,CLNDVsFjRn7,3780,,50
03/11/21,CLMdmdmDxIC,5696,,126
03/11/21,CLKXq8XMpJT,11694,106994.0,283
03/11/21,CLHlJf0nd8t,3241,21398.0,83
03/11/21,CLDV8Nvjb0L,2829,19474.0,132
03/11/21,CLIHgLcFWky,2241,14616.0,87
03/11/21,CLHwAazgXwh,2077,,69
03/11/21,CLJ_r1FH5U2,17629,87596.0,1226
03/11/21,CLASOYVAymV,10323,,157
03/11/21,CLKUUDzj_GA,2130,,28
03/11/21,CLHor4TDJL5,3088,,53
03/11/21,CLFg9y4s6B3,7250,,1501
03/11/21,CLClpNHAWkE,3162,30930.0,61
03/11/21,CLC6iP6MyKN,5273,,58
03/11/21,CLABFVkjs7U,7870,,81
03/11/21,CK7ByBblRSF,6668,,691
03/11/21,CK4St-BAsi_,2698,,38
03/11/21,CKzWz3YBnU1,2537,22226.0,67
03/11/21,CK10wH8gwAi,7922,,144
03/11/21,CK7S4UigxI2,2676,,73
03/11/21,CK9jOYesU0A,13316,,299
03/11/21,CK9qADUAqAU,8148,,172
03/11/21,CKzCRMwAyZK,4286,38906.0,124
03/11/21,CK4ZizTJnxA,3225,31421.0,155
03/11/21,CKzdu_yM5w0,4479,35908.0,151
03/11/21,CK6wnU9jw3m,4185,,99
03/11/21,CKo2qykDJVr,12476,75161.0,178
03/11/21,CKxGrDdjKoL,6712,,276
03/11/21,CKpKk1QBp7H,3708,40513.0,143
03/11/21,CKwrM5vhSVo,2860,,56
03/11/21,CKuC9gHs1oe,2313,22829.0,62
03/11/21,CKt_cecgJw7,6195,,113
03/11/21,CKwWpI1sTBS,5624,,192
03/11/21,CKovGcDnQTe,3309,29020.0,339
03/11/21,CKpAYIPAjZ9,12485,,191
03/11/21,CKw48niFrZ7,6799,,89
03/11/21,CKrhn4LD6pK,10668,,153
03/11/21,CKo8zlAA9u9,5044,,59
03/11/21,CKme7TZsJrW,1505,13983.0,108
03/11/21,CKhp7yKA_Tz,4083,,92
03/11/21,CKeix4LDXXj,2661,37090.0,87
03/11/21,CKcE0ZoH364,4372,41783.0,100
03/11/21,CKmDehiFH44,8861,66456.0,188
03/11/21,CKmiVpZAEnM,42028,,242
03/11/21,CKmYNc0BlHg,6874,,126
03/11/21,CKhIkGasm0b,3355,40577.0,111
03/11/21,CKhjifSgQCL,2771,23666.0,95
03/11/21,CKepp_7MJrA,3338,73935.0,193
03/11/21,CKjDJNiAx0N,27447,180117.0,808
03/11/21,CKoahISlmO3,60667,,1752
03/11/21,CKXCQVClQMD,4153,,83
03/11/21,CKXfhddsWqk,5595,44340.0,133
03/11/21,CKXI9eAB4Xv,6111,,120
03/11/21,CKb-Y7PFmn0,3252,,34
03/11/21,CKUIuzQgaUr,29796,155700.0,660
03/11/21,CKXlis-nb4Z,6091,,210
03/11/21,CKbzyVhl-1M,46781,478006.0,1325
03/11/21,CKZm6cXs-lL,11975,,188
03/11/21,CKPhbUnMkxS,4299,,385
03/11/21,CKXFgSvAncc,5281,,111
03/11/21,CKZV1nTJ-Hc,4301,,84
03/11/21,CKU4vcnsOiw,1544,17895.0,133
03/11/21,CKE2NeFACOf,3616,,193
03/11/21,CKFK06VBKIp,7368,78048.0,1997
03/11/21,CKPOI5sLBLo,8191,46651.0,207
03/11/21,CKHeox0DFQP,11716,,406
03/11/21,CKHXuArBIwK,19976,128475.0,1156
03/11/21,CKPF8_JJDoB,5175,56483.0,188
03/11/21,CKJ-Sd1BnVP,8784,,144
03/11/21,CKFAijGgz6m,12497,96230.0,330
03/11/21,CKKRGt4FHxg,20268,,395
03/11/21,CKPbIgQFvjq,13891,,190
03/11/21,CKPTyg4s-no,4135,,133
03/11/21,CKMMo0YHyGL,5979,,340
03/11/21,CKCz-KBIxCd,1390,12425.0,200
03/11/21,CKCbwDthwWe,2614,26623.0,499
03/11/21,CJ6R61zoizN,1905,26979.0,143
03/11/21,CKASeAshKYD,4460,,323
03/11/21,CJ6mfw-AJ3K,3483,38109.0,180
03/11/21,CJ6fqE6g77J,5394,50377.0,316
03/11/21,CJ_pLuqILAy,3624,40162.0,252
03/11/21,CKCTlHNsoKO,5347,,211
03/11/21,CJ9b-uHhGE3,2364,24334.0,437
03/11/21,CJ4Ilerovpa,9066,,1656
03/11/21,CJ6t07th_QF,5496,47118.0,501
03/11/21,CJ9LRKIhFvs,13285,,458
03/11/21,CJjbVwKLrcw,13886,,1216
03/11/21,CJmVQUBlFEJ,8155,,705
03/11/21,CJy6YwMDfMJ,1777,28745.0,846
03/11/21,CJojFYrFQnA,2079,25760.0,385
03/11/21,CJrWRiCg53f,2976,34915.0,421
03/11/21,CJhLHvsFghB,8588,,837
03/11/21,CJreUV1DW3h,13238,,1336
03/11/21,CJhEU51spu_,26846,,470
03/11/21,CJg2nAbH4ib,12401,,270
03/11/21,CJoytT5g4y2,6429,,1185
03/11/21,CJq8Jv5ndGY,6364,80771.0,704
03/11/21,CJoskmOFen4,3672,,381
03/11/21,CJSD0idlX1T,2064,,83
03/11/21,CJPCr6klGT1,3442,,97
03/11/21,CJPlH8HJthO,4455,,168
03/11/21,CJb96w2Fu1X,2504,,86
03/11/21,CJeYpqyo1ad,3473,,147
03/11/21,CJW5C59FhpO,9042,,229
03/11/21,CJZc984ltdp,3285,,129
03/11/21,CJT4PA2AeN4,3710,41809.0,91
03/11/21,CJO7q1fFSkC,22092,,194
03/11/21,CJZqj6tg6Zu,7105,,10219
03/11/21,CJcBl8thF2F,15774,,426
03/11/21,CJep1I_rthY,9239,67856.0,348
03/11/21,CJMZBRXFqOQ,3450,,112
03/11/21,CJEopNNlbbr,3009,,54
03/11/21,CJJs3r6AxHh,2418,34087.0,47
03/11/21,CJHUVRlhWun,5484,57099.0,119
03/11/21,CJKNtglM1Vw,4554,,71
03/11/21,CJEa7tYjUmn,15704,,280
03/11/21,CJKUjVUMxcu,2974,28722.0,65
03/11/21,CJOoAgwnOIc,6643,41735.0,411
03/11/21,CJB9D7PIhGE,6268,,10170
03/11/21,CJHNbynFz5_,2136,,68
03/11/21,CJMTnEclbhq,10842,,231
03/11/21,CI_Uv7UoJmX,2876,49606.0,161
03/11/21,CIynFqQgR5E,5588,,110
03/11/21,CIrGeICFwue,7575,,131
03/11/21,CIzJHB8o4NR,33498,,701
03/11/21,CI4It6xH1Vi,6875,,121
03/11/21,CI3wlDcAwu6,6480,,93
03/11/21,CI60UOBIslc,2680,34401.0,150
03/11/21,CIv3_Yko4pS,10266,,258
03/11/21,CI6swr4ovPw,16385,81921.0,1218
03/11/21,CI1S1Dsp5W4,1943,23519.0,112
03/11/21,CI9O-pGjDaW,2895,21802.0,91
