fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CMP44ARBOnZ,1137,,12
03/11/21,CMQ3hnvhVjV,1474,,26
03/11/21,CMLjx2Ghxde,2234,,62
03/11/21,CMN99UNB1KH,1032,,44
03/11/21,CMQkDPdH9wN,1642,,20
03/11/21,CMNtgMPhlfd,2203,,91
03/11/21,CMNlgKjMQv2,1217,,20
03/11/21,CMQAsSJgRaR,581,,11
03/11/21,CMNKlFhhWCo,2182,,26
03/11/21,CMOE_tnBIJ2,550,4745.0,36
03/11/21,CMQbeDoBCbl,1924,,14
03/11/21,CMLZy3bBYCz,2142,,35
03/11/21,CMFyGOSBGKL,2132,,15
03/11/21,CMI3YcjISUc,1378,,23
03/11/21,CMIVDc0pXCa,1191,,17
03/11/21,CMGemxxKqHr,2345,,60
03/11/21,CMDoEVYDF4R,1946,,53
03/11/21,CMGE2upp7YN,1089,,17
03/11/21,CMI5fhoh-Lp,5760,,84
03/11/21,CMLHlSRnwAD,746,6997.0,16
03/11/21,CMKorShAVaZ,1364,,43
03/11/21,CMKe5fBBatQ,6025,,47
03/11/21,CMIKwP5jcWx,2171,,25
03/11/21,CMIiyGBFXgc,1427,,20
03/11/21,CMC23H5sNVs,1285,,32
03/11/21,CMA8-lklH4n,1079,,15
03/11/21,CL-dWJ9MUiQ,2845,,52
03/11/21,CMDVmg9H04r,1786,20044.0,24
03/11/21,CMAhhEDgot0,875,8133.0,27
03/11/21,CMAXN6TrhNr,1056,,27
03/11/21,CMAOocFsJVr,3646,,1033
03/11/21,CMBJiPqBCqn,1659,,50
03/11/21,CMDEBVrF_RE,730,6375.0,20
03/11/21,CL-TKOGBRg6,4207,,361
03/11/21,CL5Xg1bhHFf,3707,,48
03/11/21,CL4xCcSBhZQ,2774,,51
03/11/21,CL4jrYPBWS5,5146,,1838
03/11/21,CL6-LKWnZDO,1406,,234
03/11/21,CL93NCNhPNF,2969,,55
03/11/21,CL7JTr8hJ-6,7617,,178
03/11/21,CL5qiQehpyl,1858,14508.0,36
03/11/21,CL-IDeeBysG,3667,,29
03/11/21,CL76Q6CnGNt,2416,,46
03/11/21,CL9rjWjnMIV,1546,,277
03/11/21,CL7qzzXnWbQ,1040,,15
03/11/21,CL2PBX7hz0_,1695,,22
03/11/21,CL3N7IchYzY,3245,24618.0,78
03/11/21,CL2N2wmgOC8,800,9287.0,26
03/11/21,CLzQ73undF2,2819,,119
03/11/21,CL0ZW7XB9W_,4411,,72
03/11/21,CLzusDUhZpW,2698,,71
03/11/21,CL4c6hQDcD1,2255,80373.0,45
03/11/21,CL0Nl2IjGGK,1216,,33
03/11/21,CLzpGutBnUe,5731,,130
03/11/21,CL2CU_UjK0L,1232,11504.0,44
03/11/21,CL2dycOphtT,1202,,26
03/11/21,CL2MnqbLw18,8784,,49
03/11/21,CLsAjxGgy9o,1062,8019.0,69
03/11/21,CLr-l3oh_hf,1455,,20
03/11/21,CLxLnekj79C,4019,,179
03/11/21,CLutHX0BRdY,1569,24412.0,67
03/11/21,CLuwkezh-HJ,1796,29329.0,870
03/11/21,CLvHU0pgeK7,920,10894.0,107
03/11/21,CLulIFtsJ0C,731,6384.0,350
03/11/21,CLuvamSnXGf,1166,22831.0,117
03/11/21,CLrj3YIhrkO,1484,,24
03/11/21,CLusDkNgvyl,14776,391645.0,1138
03/11/21,CLw9IccBinQ,1098,,71
03/11/21,CLuuWsJBysR,2278,36980.0,79
03/11/21,CLm4cOTA6Uc,2296,,50
03/11/21,CLqA5uBBeZG,1322,,24
03/11/21,CLiS5DoHmwt,2536,,130
