fetch date,hrefs,short codes,post types,captions,accessibility caption,id,timestamp,upload date,upload date text
03/06/21,https://www.instagram.com/p/CL4c2Fjl0tq/,CL4c2Fjl0tq,Image,"Photo by Netflix US on March 01, 2021. May be an image of 3 people, people standing and text that says 'It's Monday. day.'.","Photo by Netflix US on March 01, 2021. May be an image of 3 people, people standing and text that says 'It's Monday. day.'.",2519890853633674090,1614614420,2021-03-01T16:00:20.000Z,"Mar 1, 2021"
03/06/21,https://www.instagram.com/p/CL7GhqGHrq4/,CL7GhqGHrq4,Video,"nothing more soothing than hot molten glass
📺: blown away",,2520637117665557176,1614703394,2021-03-02T16:43:14.000Z,"Mar 2, 2021"
03/06/21,https://www.instagram.com/p/CL8GVWfMdam/,CL8GVWfMdam,Carousel,"Photo by Netflix US on March 02, 2021. May be an image of 2 people, child and text that says 'FIRST LAST'.","Photo by Netflix US on March 02, 2021. May be an image of 2 people, child and text that says 'FIRST LAST'.",2520917746954393254,1614736835,2021-03-03T02:00:35.000Z,"Mar 2, 2021"
03/06/21,https://www.instagram.com/p/CL3LEWfMx7_/,CL3LEWfMx7_,Image,"Photo by Netflix US on February 28, 2021. May be an image of 4 people.","Photo by Netflix US on February 28, 2021. May be an image of 4 people.",2519531194072375039,1614571545,2021-03-01T04:05:45.000Z,"Feb 28, 2021"
03/06/21,https://www.instagram.com/p/CL2fkbYHY-T/,CL2fkbYHY-T,Video,"Three Tips for Showing more Gratitude in your life: These are mine!! Tag me, @antoinette, in the comments (or in today’s IG story) and let me know if you found them helpful, or if you have something else that you could recommend to me to help me along in my journey as well ❤️",,2519339884298997651,1614548841,2021-02-28T21:47:21.000Z,"Feb 28, 2021"
03/06/21,https://www.instagram.com/p/CL2pY9SHr2T/,CL2pY9SHr2T,Video,These are some accounts that that that inspire me.  Make sure to check them out!,,2519383076537023891,1614553905,2021-02-28T23:11:45.000Z,"Feb 28, 2021"
03/06/21,https://www.instagram.com/p/CL90e6SHyA3/,CL90e6SHyA3,Video,jamal is the king of one-liners. 🙋‍♀️ if you're rewatching @onmyblock for the 1000000th time,,2521402188981280823,1614794599,2021-03-03T18:03:19.000Z,"Mar 3, 2021"
03/06/21,https://www.instagram.com/p/CL4lHsaHcz9/,CL4lHsaHcz9,Video,"Ryan Gosling eating mall pizza in slow motion 🍕 you're welcome.

🎥 Crazy, Stupid, Love is now on Netflix",,2519927247953841405,1614618768,2021-03-01T17:12:48.000Z,"Mar 1, 2021"
03/06/21,https://www.instagram.com/p/CL734PRMZ9y/,CL734PRMZ9y,IGTV,"from the creators of Money Heist @lacasadepapel comes @skyrojo, a mega action thriller. my heart is still racing from this trailer",,2520854173687324530,1614729274,2021-03-02T23:54:34.000Z,"Mar 2, 2021"
03/06/21,https://www.instagram.com/p/CL2VGoDHWYh/,CL2VGoDHWYh,Carousel,"Photo shared by Netflix US on February 28, 2021 tagging @antoinette. May be an image of 1 person and outdoors.","Photo shared by Netflix US on February 28, 2021 tagging @antoinette. May be an image of 1 person and outdoors.",2519293855855896097,1614543252,2021-02-28T20:14:12.000Z,"Feb 28, 2021"
03/06/21,https://www.instagram.com/p/CL-B6h_lCRZ/,CL-B6h_lCRZ,Carousel,"Photo by Netflix US on March 03, 2021. May be an image of 2 people and text that says 'Firefly Lane girls Û forever.'.","Photo by Netflix US on March 03, 2021. May be an image of 2 people and text that says 'Firefly Lane girls \u00db forever.'.",2521461261650371673,1614801627,2021-03-03T20:00:27.000Z,"Mar 3, 2021"
03/06/21,https://www.instagram.com/p/CL-PtG0srY5/,CL-PtG0srY5,Video,"use your voice. it matters, YOU matter. 🖤 ⭐️ 🖤 ⭐️ Moxie is now on Netflix!!!!",,2521521911774754361,1614808892,2021-03-03T22:01:32.000Z,"Mar 3, 2021"
03/06/21,https://www.instagram.com/p/CLswapzMksY/,CLswapzMksY,Image,its the supernatural romance for me,"Photo by Netflix US on February 24, 2021. May be an image of 7 people and text that says '1.SUPERNATURAL ROMANCE 2.PENPAL ROMANCE 3.CHOSEN ONE IN LOVE 4.FALLING FOR ROYALTY/NOBILITY'.",2516599229614541592,1614222027,2021-02-25T03:00:27.000Z,"Feb 24, 2021"
03/06/21,https://www.instagram.com/p/CLu54NFn66A/,CLu54NFn66A,Video,,,2517203792741510784,1614294105,2021-02-25T23:01:45.000Z,"Feb 25, 2021"
03/06/21,https://www.instagram.com/p/CLxXq8GnQiS/,CLxXq8GnQiS,Video,,,2517897772500060306,1614376840,2021-02-26T22:00:40.000Z,"Feb 26, 2021"
03/06/21,https://www.instagram.com/p/CLt11nTgk48/,CLt11nTgk48,Video,,,2516904547570568764,1614258486,2021-02-25T13:08:06.000Z,"Feb 25, 2021"
03/06/21,https://www.instagram.com/p/CLzrkyLnerW/,CLzrkyLnerW,IGTV,"Follow & fall in love with 4 wonderful humans who I adore & believe are true champions of progress!
@lavernecox
@abbydphillip
@kamalaharris 
@kendrick38",,2518548260413369046,1614454787,2021-02-27T19:39:47.000Z,"Feb 27, 2021"
03/06/21,https://www.instagram.com/p/CLwvXx4n_VX/,CLwvXx4n_VX,IGTV,,,2517720533997450583,1614355734,2021-02-26T16:08:54.000Z,"Feb 26, 2021"
03/06/21,https://www.instagram.com/p/CLz0R09H5he/,CLz0R09H5he,IGTV,"@kylapratt blew my entire world up in the best way possible with her early 2000's hit UPN show 'One on One'. In her I saw myself and believed that the career and life I have now was 1000% attainable. Kyla is a true multihyphenate who I am so very proud of. She exemplifies Black Girl Magic & she inspires me daily! 
Sidenote: Y'all remember Kyla in the 2003 B2K video for 'What A Girl Wants'? Whewwwwwww she's BEEN goals for decades!",,2518586540139976798,1614459150,2021-02-27T20:52:30.000Z,"Feb 27, 2021"
03/06/21,https://www.instagram.com/p/CLxAWIRH11i/,CLxAWIRH11i,Video,,,2517795187382508898,1614364613,2021-02-26T18:36:53.000Z,"Feb 26, 2021"
03/06/21,https://www.instagram.com/p/CLvOb16Hp7c/,CLvOb16Hp7c,Video,,,2517294202683825884,1614304884,2021-02-26T02:01:24.000Z,"Feb 25, 2021"
03/06/21,https://www.instagram.com/p/CLzdiXPHidx/,CLzdiXPHidx,Carousel,"Where there is progress, there is hope! Sometimes progress is big leaps & at other times, baby steps but the outcome is always beautiful because it ignites change! In 2008, while a junior at Howard University, America elected its first black president, President Obama. Now, in my 11th year living in Los Angeles, making my dreams come true, our first female and POC VP was elected. Nothing is more representative of progress than that. I feel so blessed to be a part of the beautiful and much deserved global recognition and wins in the black community & I commit to always contributing to progress in an uplifting and authentic way. @ashleyblaine","Photo shared by Netflix US on February 27, 2021 tagging @ashleyblaine. May be a closeup of 1 person.",2518486521390966641,1614447010,2021-02-27T17:30:10.000Z,"Feb 27, 2021"
