fetch date,short codes,number of likes,number of video views,number of comments
03/06/21,CL4c2Fjl0tq,768179,,8548
03/06/21,CL7GhqGHrq4,336221,,3471
03/06/21,CL8GVWfMdam,935252,,2652
03/06/21,CL3LEWfMx7_,415973,,6408
03/06/21,CL2fkbYHY-T,66525,247627.0,353
03/06/21,CL2pY9SHr2T,66615,,912
03/06/21,CL90e6SHyA3,112814,,642
03/06/21,CL4lHsaHcz9,173072,,4181
03/06/21,CL734PRMZ9y,158679,886411.0,1641
03/06/21,CL2VGoDHWYh,199515,,486
03/06/21,CL-B6h_lCRZ,265963,,1773
03/06/21,CL-PtG0srY5,144286,745145.0,845
03/06/21,CLswapzMksY,533762,,3911
03/06/21,CLu54NFn66A,920902,,1772
03/06/21,CLxXq8GnQiS,122244,,736
03/06/21,CLt11nTgk48,138015,639118.0,983
03/06/21,CLzrkyLnerW,52632,169660.0,138
03/06/21,CLwvXx4n_VX,179418,822704.0,1762
03/06/21,CLz0R09H5he,59375,203157.0,317
03/06/21,CLxAWIRH11i,338833,,4399
03/06/21,CLvOb16Hp7c,280019,,1592
03/06/21,CLzdiXPHidx,163001,,241
03/06/21,CLxJ9-5MVde,153302,,483
03/06/21,CLuQdXxne30,474191,,1966
03/06/21,CLj9ZYeAT4r,496067,,1101
03/06/21,CLsAYEvs46P,188076,,973
03/06/21,CLpUvfrMo9h,172053,839799.0,2639
03/06/21,CLmv6y_ATri,479624,2294616.0,2844
03/06/21,CLpbizbnZGS,523115,,1107
03/06/21,CLryqCksN8P,450684,,913
03/06/21,CLp96kLMn6K,180546,,585
03/06/21,CLsjzDyn5pR,307415,,1699
03/06/21,CLk0cKWHz4I,355261,,694
03/06/21,CLj2gVnMhzs,65044,327564.0,179
03/06/21,CLmX-y5nu4w,113057,485059.0,702
03/06/21,CLnLW9bBXMB,511451,,22934
03/06/21,CLhaqkVHzCJ,226837,,375
03/06/21,CLdF8t_L1m4,514447,,2168
03/06/21,CLcq0JKns0G,216257,,894
03/06/21,CLhyWxnH1v1,88894,459124.0,436
03/06/21,CLe6p4XFL3k,936535,,8027
03/06/21,CLhmilOnPds,83491,415643.0,197
03/06/21,CLcSbTKhOgx,892352,,1967
03/06/21,CLcD_2jn6lG,113109,413615.0,551
03/06/21,CLau1UcLg-X,245845,,644
03/06/21,CLfWJleHL2G,123688,,548
03/06/21,CLemgx1HRHS,714873,,2525
03/06/21,CLchC0TnSVE,607672,,2136
03/06/21,CLUq9BaLNCj,1048840,,2695
03/06/21,CLX8ZY7lqsR,906248,,1433
03/06/21,CLTAYDSntcG,114536,611248.0,956
03/06/21,CLSUQoPHRq_,58018,206707.0,115
03/06/21,CLVXjzOjhxl,1035412,,3118
03/06/21,CLZ-vJeM2ol,681919,,5732
03/06/21,CLVC9NaDaEA,475684,1746230.0,1300
03/06/21,CLSehjZHUQD,65585,308834.0,174
03/06/21,CLXMSZlML6a,491885,,2077
03/06/21,CLaMd7_Bo3w,120443,438127.0,745
03/06/21,CLXaAChhCiV,250984,,855
03/06/21,CLahIZFB985,293495,,5199
03/06/21,CLNiVYzlqEG,456018,,2184
03/06/21,CLR7sY2HU_S,172049,,223
03/06/21,CLRuIGyBcKG,253862,,688
03/06/21,CLMrMI_nUy5,177777,646831.0,1079
03/06/21,CLNpHfdh5Aw,582284,2128136.0,3221
03/06/21,CLSGUcnhqjX,68246,325046.0,276
03/06/21,CLM_6kSlGl0,183072,,560
03/06/21,CLLEYLUFby6,697531,,1133
03/06/21,CLLU3S9Hlum,300737,,1462
03/06/21,CLPrjueAtoD,430903,,1167
03/06/21,CLPXCu9jK_s,279264,,1430
03/06/21,CLQAQvqF-2J,1094564,,4371
03/06/21,CLIFHSWHlz_,436335,,1748
03/06/21,CLH9RDPBa1s,1238138,,5791
03/06/21,CLFKmWhHRmZ,120954,,387
03/06/21,CLK24SxnY_q,112855,,479
03/06/21,CLKh-gRF4xU,299676,1156044.0,1507
03/06/21,CLFmIsdpl6w,407402,,1209
03/06/21,CLHvgKRDQzQ,354584,1757461.0,1349
03/06/21,CLFz3ULMdIt,193425,759617.0,494
03/06/21,CLDWAKZFCNh,504080,,3494
03/06/21,CLIRyWNFFw3,71902,247248.0,179
03/06/21,CLIfnvindaa,144048,,883
03/06/21,CLGBrBLJ8KS,326974,,1242
03/06/21,CK63ejGrQJb,170206,,591
03/06/21,CK7TFeMLRUd,842856,,1548
03/06/21,CK9VZmbnd6J,335743,,595
03/06/21,CK4h29MHV7Q,307980,,1570
03/06/21,CK41C9KHw7f,93047,,541
03/06/21,CLDIQdhhktB,251948,,493
03/06/21,CK_zbUIrJ8N,403359,,5533
03/06/21,CLC4Z4xH84y,441565,1767089.0,1595
03/06/21,CLAPJDAHi-q,722218,,3938
03/06/21,CK9uoUmnbF0,508092,,1089
03/06/21,CK9iXHegBdm,101824,387618.0,261
03/06/21,CLCpGYxFCUF,411235,,1068
03/06/21,CKz5Gmknr2L,330370,,1113
03/06/21,CK2k1EXsnhM,420399,,679
03/06/21,CK2rtEXM2Az,235739,,683
03/06/21,CKxNgkELzgb,510986,,2164
03/06/21,CKy0SEVhANl,255039,1403798.0,1738
03/06/21,CKw_w4XHJDs,489491,,2435
03/06/21,CKwyENFhlZA,162869,800399.0,6894
03/06/21,CK4StUmMifS,144095,,655
03/06/21,CK2QPn7HdJm,194822,,496
03/06/21,CK1uAGinXJJ,472100,,764
03/06/21,CKzJLt9s-0a,243454,,941
03/06/21,CKzkljosv99,220177,,563
03/06/21,CKsKyzos8GX,764578,,8886
03/06/21,CKrhmUcFMc3,791042,,1784
03/06/21,CKr74kZngE9,69258,396430.0,396
03/06/21,CKuh1H7l2V4,446181,,1149
03/06/21,CKnVzAPDl_O,365132,,1948
03/06/21,CKme8HlLdcm,423904,,3227
03/06/21,CKnBMKRHgjj,72284,461601.0,250
03/06/21,CKpDunCnmkk,354828,1453887.0,6235
03/06/21,CKuv2V7n6C6,336504,,1170
03/06/21,CKpcP9KnjGe,247692,1391852.0,1179
03/06/21,CKwdZIVMBNp,130330,,596
03/06/21,CKpl_5SFQi_,299013,1858357.0,1112
03/06/21,CKj5WqKH6YS,674673,3532007.0,2371
03/06/21,CKjlcuorvbC,187512,969499.0,1462
03/06/21,CKjXuiWn5rv,563441,,3564
03/06/21,CKfFGJgMhmu,555662,,1592
03/06/21,CKewjUNFzGR,388733,,2845
03/06/21,CKcgVhWsAz0,95171,596139.0,646
03/06/21,CKh3qnPn8_T,183849,,3011
03/06/21,CKmKRSaHKv5,93871,,292
03/06/21,CKkccRCMi6P,178926,,496
03/06/21,CKfSzAxp2vP,106385,452731.0,1051
03/06/21,CKg--5sr421,232948,1306479.0,1026
03/06/21,CKhp2iHFuSW,357606,,3147
03/06/21,CKXdo9vAtye,194886,1338287.0,695
03/06/21,CKaJsuznU1L,905167,,2105
03/06/21,CKZm-JdLooz,75415,390316.0,246
03/06/21,CKXCHEfACZZ,113427,564755.0,1332
03/06/21,CKU_irXnaIs,169623,,745
03/06/21,CKcLrE-sOa-,777233,,1844
03/06/21,CKZ7e6wL90R,438364,,1811
03/06/21,CKUJvLmsXQc,96015,448065.0,713
03/06/21,CKW0aZbhxTq,238858,1374168.0,9888
03/06/21,CKZZJnQheOf,569209,,2790
03/06/21,CKT-UddhFeQ,182595,735200.0,2678
03/06/21,CKUxwKdsy_D,189700,887640.0,29722
03/06/21,CKR_L5mAb1B,207021,863146.0,970
03/06/21,CKSa4G1libz,369994,,1561
03/06/21,CKMhLCCsDkY,763943,,1300
03/06/21,CKQD0tlsf0L,841999,,5155
03/06/21,CKKscKoF50-,468578,,3055
03/06/21,CKPvN3SMXoA,492574,,1221
03/06/21,CKSNHbxArHS,628320,,2448
03/06/21,CKOtgdvHM4l,366719,1666533.0,4618
03/06/21,CKKX8B0sn7h,536792,,1982
03/06/21,CKPWo0glRNg,490940,,1319
03/06/21,CKNDhYdMKyR,281386,,1061
03/06/21,CKM7tNqHoxV,98566,391063.0,214
03/06/21,CKEy2qDni-q,79988,460913.0,337
03/06/21,CKCm2fPH_97,761882,,1300
03/06/21,CKHlfyKA2jJ,1856092,,8764
03/06/21,CKHXWsiH7yC,168148,,644
03/06/21,CKJ8dmAAOff,173868,1115638.0,728
03/06/21,CKFAjf7rM1J,116278,603277.0,468
03/06/21,CKFcAJalosM,503928,2463175.0,1370
03/06/21,CKC-Ggbnc42,900024,,3147
03/06/21,CKDL0mgA_wT,647365,,2671
03/06/21,CKHzMdDhmIF,160918,,748
03/06/21,CKFHbXysQU_,671232,,5942
03/06/21,CKFVHd-nWRR,345954,,1008
